youtube_link,event_name,red_team_1,red_team_2,red_team_3,blue_team_1,blue_team_2,blue_team_3,red_auto_points,blue_auto_points,red_score,blue_score
https://www.youtube.com/watch?v=NSWVoO4ZDEs,Rocket City Regional,2783,4028,7111,2338,4020,10011,37,51,124,143
https://www.youtube.com/watch?v=1FpcfKgS3kw,Rocket City Regional,2783,4028,7111,2338,4020,10011,30,44,144,149
https://www.youtube.com/watch?v=mAbsfvQlhaw,Rocket City Regional,5045,34,4020,2973,6107,9410,27,3,129,37
https://www.youtube.com/watch?v=xrkAU-qZY-E,Rocket City Regional,538,2338,2973,3138,3843,4020,30,30,118,97
https://www.youtube.com/watch?v=ae-lJ4geVPg,Rocket City Regional,6107,6517,48,7428,8772,4028,9,30,67,126
https://www.youtube.com/watch?v=sRH7aAUy5Og,Rocket City Regional,8624,6302,325,4265,432,144,9,9,72,50
https://www.youtube.com/watch?v=UoCPIGg3_f4,Rocket City Regional,7111,2502,3814,5125,3966,3959,16,9,38,61
https://www.youtube.com/watch?v=YFcyYa0XFH8,Rocket City Regional,3630,7725,7072,744,4601,5005,16,3,76,34
https://www.youtube.com/watch?v=OY7I9H4PzLI,Rocket City Regional,9590,3824,3468,1038,34,9097,6,9,71,55
https://www.youtube.com/watch?v=9VK8nHMaMFo,Rocket City Regional,5045,3843,6107,7428,10011,3138,6,12,54,56
https://www.youtube.com/watch?v=R-_G8UFbIIM,Rocket City Regional,8772,2338,3058,2190,325,4265,33,19,123,84
https://www.youtube.com/watch?v=fvfTY7Sar8Y,Rocket City Regional,7111,5125,2783,6517,3814,432,23,6,90,35
https://www.youtube.com/watch?v=doCz1FUqBaU,Rocket City Regional,7072,3966,4601,48,2220,6302,10,12,97,98
https://www.youtube.com/watch?v=FMuWTpxC_eA,Rocket City Regional,3138,144,2190,3058,1038,2783,9,23,63,97
https://www.youtube.com/watch?v=HE6195z04J8,Rocket City Regional,1038,2502,3824,3959,9410,3630,16,16,58,99
https://www.youtube.com/watch?v=XllHMW_pD84,Rocket City Regional,538,7725,4020,8624,9590,3140,31,6,109,43
https://www.youtube.com/watch?v=Fm-SOusDgz4,Rocket City Regional,4028,744,9097,144,5005,2973,27,9,126,76
https://www.youtube.com/watch?v=AY6chm84n7c,Rocket City Regional,10011,5125,8772,34,3058,7111,9,12,43,47
https://www.youtube.com/watch?v=KS3qkF39G3Y,Rocket City Regional,3468,3138,4601,4265,3843,7072,6,3,38,30
https://www.youtube.com/watch?v=Fob8nV2v9A0,Rocket City Regional,3824,7428,2190,6302,3966,2502,16,9,81,83
https://www.youtube.com/watch?v=ZhXyHNK2eU0,Rocket City Regional,6107,432,8624,1038,6517,2338,9,37,47,139
https://www.youtube.com/watch?v=7_w9osPXr8o,Rocket City Regional,4028,144,2220,9590,4020,744,23,27,137,119
https://www.youtube.com/watch?v=5xPutHyybKA,Rocket City Regional,9097,3959,7725,5045,9410,325,9,25,66,113
https://www.youtube.com/watch?v=WROWtoMWB5g,Rocket City Regional,2973,48,3814,538,2783,5005,9,23,43,79
https://www.youtube.com/watch?v=AIvbeD93qx8,Rocket City Regional,48,3630,2338,10011,3468,6517,30,16,142,52
https://www.youtube.com/watch?v=Bum1FPPxuoU,Rocket City Regional,3630,4265,34,3140,7111,3843,9,3,61,22
https://www.youtube.com/watch?v=70opNdGFrx0,Rocket City Regional,8772,3138,1038,4601,6302,10011,9,6,69,33
https://www.youtube.com/watch?v=J8aH17vNdUE,Rocket City Regional,744,2220,3966,3468,2338,144,15,33,88,93
https://www.youtube.com/watch?v=WZVJVEEnv3o,Rocket City Regional,9410,4020,5125,6517,325,9590,37,16,159,77
https://www.youtube.com/watch?v=BfOo97mayN8,Rocket City Regional,6107,7725,3058,7428,538,432,12,16,56,60
https://www.youtube.com/watch?v=5y3GkSmaZ-4,Rocket City Regional,2783,3140,2973,2502,7072,3959,23,9,89,70
https://www.youtube.com/watch?v=f3xxWxdch1E,Rocket City Regional,4028,5045,2190,9097,3630,8624,23,9,107,63
https://www.youtube.com/watch?v=A4fy_5OH49w,Rocket City Regional,3814,3824,144,48,5005,3843,12,9,89,56
https://www.youtube.com/watch?v=CsNMnwTObrE,Rocket City Regional,6517,4265,3138,2220,34,9590,16,20,71,72
https://www.youtube.com/watch?v=uwfPTIh3c6Y,Rocket City Regional,325,4020,2338,7111,7428,1038,51,16,192,87
https://www.youtube.com/watch?v=oHpSPg8IbfA,Rocket City Regional,6302,538,3140,2220,7111,4601,6,13,46,61
https://www.youtube.com/watch?v=vofacV7uGuQ,Rocket City Regional,9410,538,4601,3959,2973,3468,17,9,65,74
https://www.youtube.com/watch?v=RQm066qkAbA,Rocket City Regional,3630,744,6302,2502,2783,6107,16,16,42,86
https://www.youtube.com/watch?v=-OXjpkKLwek,Rocket City Regional,4028,8624,10011,3814,7725,3966,30,13,117,72
https://www.youtube.com/watch?v=BUSpuTeOfh8,Rocket City Regional,2190,5005,8772,7072,5125,3140,15,6,52,58
https://www.youtube.com/watch?v=FQ9CukKfqck,Rocket City Regional,432,48,3058,9097,5045,3824,9,15,71,71
https://www.youtube.com/watch?v=lqYeAKVaV5o,Rocket City Regional,7111,2973,325,2220,3468,1038,9,9,68,116
https://www.youtube.com/watch?v=XOmhIHhlWdY,Rocket City Regional,34,6517,144,3138,2502,3630,9,12,71,93
https://www.youtube.com/watch?v=HuQNUvQmVf4,Rocket City Regional,7725,9410,4028,2338,6302,7428,29,37,39,129
https://www.youtube.com/watch?v=SK1UYU4NOdk,Rocket City Regional,4601,3843,2783,538,8624,5125,10,9,63,21
https://www.youtube.com/watch?v=yBPh5kTEBEw,Rocket City Regional,8772,3959,432,4020,48,3966,12,30,82,126
https://www.youtube.com/watch?v=du24Qz2Dyjo,Rocket City Regional,7428,9097,5005,3843,8772,8624,6,6,62,40
https://www.youtube.com/watch?v=9IywZjeZ3Cw,Rocket City Regional,3140,4265,3058,3814,744,5045,12,12,70,39
https://www.youtube.com/watch?v=WvXC_9J8MvI,Rocket City Regional,7072,10011,5005,6107,9097,9590,16,3,54,26
https://www.youtube.com/watch?v=9xUxhJOBHV8,Rocket City Regional,3824,7111,3630,2190,2973,7725,15,9,125,26
https://www.youtube.com/watch?v=KN8CYECRmPA,Rocket City Regional,2220,325,3138,2783,4028,34,16,34,105,140
https://www.youtube.com/watch?v=0eObK80bPFY,Rocket City Regional,144,1038,5125,48,8772,9410,9,12,73,70
https://www.youtube.com/watch?v=SDbUj_nLzoo,Rocket City Regional,7428,4601,8624,3468,3140,432,6,6,55,123
https://www.youtube.com/watch?v=WMdsd6JmRWQ,Rocket City Regional,4020,9097,2502,10011,4265,538,27,12,107,78
