epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.075,1.23523,1.45389,1.13949,0.79957,0.78905,0.83694,0.61727,1.10288,1.44234,1.11437,0.00048343,0.00048343,0.00048343
2,272.731,1.01288,0.83138,1.01964,0.93118,0.88732,0.91802,0.69626,0.98197,0.90723,1.03356,0.000964056,0.000964056,0.000964056
3,407.278,0.99303,0.75008,1.01363,0.65446,0.84544,0.82112,0.55368,1.11836,1.28975,1.07422,0.00142488,0.00142488,0.00142488
4,545.244,0.97679,0.67821,0.99692,0.9336,0.90845,0.93486,0.67561,1.08503,0.79678,1.05406,0.00156798,0.00156798,0.00156798
5,677.746,0.96381,0.63467,0.98109,0.95294,0.91919,0.94627,0.73097,0.96213,0.60745,1.03427,0.00153497,0.00153497,0.00153497
6,812.29,0.9367,0.61153,0.97928,0.92305,0.92606,0.94162,0.72649,0.95717,0.65684,1.0225,0.00150197,0.00150197,0.00150197
7,944.709,0.90764,0.58475,0.96775,0.93905,0.94415,0.96412,0.75696,0.94476,0.58303,1.01414,0.00146896,0.00146896,0.00146896
8,1180.87,0.89836,0.57069,0.96901,0.94545,0.93734,0.95486,0.7473,0.93138,0.54472,1.00917,0.00143595,0.00143595,0.00143595
9,1314.62,0.88097,0.5536,0.9676,0.95744,0.93486,0.96682,0.75399,0.95624,0.5394,1.01918,0.00140295,0.00140295,0.00140295
10,1707.49,0.89186,0.54353,0.97104,0.94898,0.92137,0.96713,0.75972,0.93066,0.50827,0.99884,0.00136994,0.00136994,0.00136994
11,1839.58,0.87508,0.53296,0.95325,0.95273,0.93134,0.96551,0.75067,0.97487,0.5512,1.01003,0.00133693,0.00133693,0.00133693
12,1972.77,0.85766,0.52307,0.95935,0.94564,0.94014,0.96509,0.76365,0.90883,0.52133,0.99196,0.00130393,0.00130393,0.00130393
13,2190.74,0.85309,0.49195,0.94877,0.95845,0.95246,0.97197,0.77359,0.89982,0.50038,0.97763,0.00127092,0.00127092,0.00127092
14,2412.69,0.83207,0.49144,0.944,0.97064,0.94014,0.97323,0.7798,0.88751,0.48254,0.98933,0.00123791,0.00123791,0.00123791
15,2634.75,0.83956,0.49532,0.95507,0.95822,0.94853,0.9702,0.76393,0.93512,0.48671,0.99403,0.00120491,0.00120491,0.00120491
16,3283.8,0.84096,0.51783,0.9463,0.95051,0.93662,0.97162,0.77102,0.88786,0.49946,0.96879,0.0011719,0.0011719,0.0011719
17,3492.1,0.81143,0.47596,0.94595,0.95744,0.9419,0.9695,0.77802,0.88958,0.49431,0.97176,0.00113889,0.00113889,0.00113889
18,3679.51,0.80511,0.47876,0.93057,0.95478,0.9331,0.96692,0.78249,0.88555,0.46762,0.97466,0.00110589,0.00110589,0.00110589
19,3811.84,0.78006,0.46825,0.93185,0.9626,0.93497,0.97069,0.79184,0.87529,0.46594,0.96935,0.00107288,0.00107288,0.00107288
20,3929.44,0.79696,0.46283,0.9313,0.95142,0.94894,0.97643,0.78396,0.89463,0.46363,0.97748,0.00103987,0.00103987,0.00103987
21,4046.84,0.79367,0.45906,0.92468,0.95505,0.93132,0.9649,0.7787,0.90428,0.46282,0.98372,0.00100687,0.00100687,0.00100687
22,4166.2,0.78024,0.44963,0.92371,0.96384,0.94366,0.97082,0.78137,0.90237,0.44693,0.98778,0.000973861,0.000973861,0.000973861
23,4290.42,0.77296,0.45744,0.93137,0.96579,0.93524,0.9687,0.78706,0.8813,0.4456,0.97676,0.000940855,0.000940855,0.000940855
24,4406.41,0.76378,0.43514,0.92309,0.95599,0.94542,0.97201,0.7858,0.88288,0.45663,0.97578,0.000907848,0.000907848,0.000907848
25,4521.82,0.77492,0.43439,0.91375,0.95919,0.93548,0.9653,0.78046,0.89787,0.46085,0.97704,0.000874842,0.000874842,0.000874842
26,4638.36,0.75942,0.42505,0.9049,0.96997,0.94079,0.97657,0.79772,0.86874,0.43721,0.97532,0.000841835,0.000841835,0.000841835
27,4760.18,0.75705,0.42227,0.90968,0.96898,0.94014,0.97626,0.79327,0.8623,0.42686,0.96425,0.000808828,0.000808828,0.000808828
28,4881.13,0.75606,0.41917,0.90906,0.96743,0.95246,0.97612,0.78873,0.87332,0.44411,0.96832,0.000775822,0.000775822,0.000775822
29,5001.15,0.73383,0.40852,0.89981,0.9661,0.94718,0.97582,0.79563,0.88021,0.44563,0.97594,0.000742815,0.000742815,0.000742815
30,5121.16,0.75533,0.4208,0.91201,0.96694,0.95775,0.97717,0.79219,0.88024,0.44339,0.97406,0.000709809,0.000709809,0.000709809
31,5242.27,0.73899,0.4179,0.90453,0.96805,0.9429,0.9742,0.79701,0.87556,0.4254,0.97589,0.000676802,0.000676802,0.000676802
32,5363.55,0.73605,0.40906,0.90464,0.95854,0.95951,0.97668,0.79703,0.88459,0.43179,0.9769,0.000643795,0.000643795,0.000643795
33,5484.35,0.71406,0.39623,0.9013,0.9677,0.95951,0.97788,0.7941,0.88256,0.43653,0.97604,0.000610789,0.000610789,0.000610789
34,5605.59,0.72239,0.40752,0.89855,0.96988,0.94014,0.97702,0.79959,0.88511,0.42559,0.98196,0.000577782,0.000577782,0.000577782
35,5726.86,0.73077,0.40584,0.8973,0.9672,0.94828,0.9761,0.78811,0.90565,0.43425,0.98397,0.000544776,0.000544776,0.000544776
36,5847.36,0.69959,0.38266,0.89499,0.95253,0.95997,0.9765,0.79431,0.88262,0.41804,0.97951,0.000511769,0.000511769,0.000511769
